Filename,SMILES
molecule_1123.sdf,COc1ccc(-n2nc(C)c([C@@H]3C=C[C@@H](NS(=O)(=O)c4cccs4)C3)c2C)cc1
molecule_1124.sdf,Cc1nc(-c2ccccc2Br)cc([C@H]2CN3CC[C@H]2C[C@@H]3CNS(=O)(=O)c2cccs2)n1
molecule_1125.sdf,Cc1nn(-c2ccc(C(F)(F)F)cc2)c(C)c1[C@@H]1C=C[C@@H](NC(=O)COc2ccccc2)C1
molecule_1126.sdf,Cc1nc(-c2ccccc2Br)cc([C@H]2CN3CC[C@H]2C[C@@H]3CNS(=O)(=O)c2ccc(Cl)cc2)n1
molecule_1127.sdf,CCC(CC)C(=O)NC[C@H]1C[C@@H]2CCN1C[C@@H]2c1cc(-c2ccccc2Br)nc(C)n1
molecule_1128.sdf,COc1ccc(NC(=O)O[C@@H]2C=C[C@H](c3c(C)nn(-c4ccc(C)c(Cl)c4)c3C)C2)cc1
molecule_1129.sdf,Cc1nn(-c2ccc(C(C)(C)C)cc2)c(C)c1[C@@H]1C=C[C@@H](NC(=O)NCc2ccccc2)C1
molecule_1130.sdf,Cc1nn(-c2ccc(C(C)(C)C)cc2)c(C)c1[C@@H]1C=C[C@@H](NC(=O)Nc2ccccc2)C1
molecule_1131.sdf,Cc1nn(-c2ccccc2)c(C)c1[C@@H]1C=C[C@@H](NC(=O)c2ccc3c(c2)OCO3)C1
molecule_1132.sdf,COc1ccc(C(=O)N[C@@H]2C=C[C@@H](c3c(C)nn(-c4ccccc4)c3C)C2)cc1
molecule_1133.sdf,Cc1nc(-c2ccccc2Br)cc([C@H]2CN3CC[C@H]2C[C@@H]3CNC(=O)CSCC(=O)O)n1
molecule_1134.sdf,Cc1nn(-c2ccc(C(F)(F)F)cc2)c(C)c1[C@@H]1C=C[C@@H](NC(=O)COCC(=O)O)C1
molecule_1135.sdf,Cc1nn(-c2ccc(C(F)(F)F)cc2)c(C)c1[C@@H]1C=C[C@@H](NC(=O)CCCC(=O)O)C1
molecule_1136.sdf,COCC(=O)N[C@@H]1C=C[C@@H](c2c(C)nn(-c3ccc(C(C)(C)C)cc3)c2C)C1
molecule_1137.sdf,Cc1ccc(-n2nc(C)c([C@@H]3C=C[C@@H](NC(=O)COc4ccccc4)C3)c2C)cc1Cl
molecule_1138.sdf,COCCOc1ccc(C(=O)N[C@@H]2CN(C(=O)Nc3cccc(C#N)c3)CCC[C@H]2O)cc1
molecule_1139.sdf,COc1ccc(C(=O)N[C@@H]2CN(C(=O)Nc3cccc(C#N)c3)CCC[C@H]2O)cc1
molecule_114.sdf,CCCNC(=O)C[C@@H]1CCN(C(=O)c2cccnc2)C[C@@H]1CC
molecule_1140.sdf,N#Cc1cccc(NC(=O)N2CCC[C@@H](O)[C@H](NC(=O)c3ccc(OCCN4CCOCC4)cc3)C2)c1
molecule_1141.sdf,O=C(N[C@@H]1CN(C(=O)Nc2cccc(C(F)(F)F)c2)CCC[C@H]1O)c1ccc(OCCN2CCOCC2)cc1
molecule_1142.sdf,COc1ccc(NC(=O)N[C@@H]2C=C[C@@H](c3c(C)nn(-c4ccccc4[N+](=O)[O-])c3C)C2)cc1
molecule_1143.sdf,Cc1nc(-c2ccccc2Br)cc([C@H]2CN3CC[C@H]2C[C@@H]3CNC(=O)Nc2ccccc2)n1
molecule_1144.sdf,Cc1nc(-c2ccccc2Br)cc([C@H]2CN3CC[C@H]2C[C@@H]3CNC(=O)NC2CCCCC2)n1
molecule_1145.sdf,O=C(N[C@@H]1CN(C(=O)NCc2ccccc2)CCC[C@H]1O)c1ccc(OCc2ccccc2)cc1
molecule_1146.sdf,Cc1nn(-c2ccc(C(F)(F)F)cc2)c(C)c1[C@@H]1C=C[C@@H](NC(=O)C2CCCCC2)C1
molecule_1147.sdf,COc1ccc(C(=O)N[C@@H]2C=C[C@@H](c3c(C)nn(-c4ccc(C(F)(F)F)cc4)c3C)C2)cc1
molecule_1148.sdf,Cc1nc(-c2ccccc2Br)cc([C@H]2CN3CC[C@H]2C[C@@H]3CNC(=O)COc2ccccc2)n1
molecule_1149.sdf,Cc1nn(-c2ccc(C(F)(F)F)cc2)c(C)c1[C@@H]1C=C[C@@H](NC(=O)c2cccnc2)C1
molecule_115.sdf,CC[C@H]1CN(S(=O)(=O)c2ccccc2)CC[C@H]1CC(=O)N(C)CCC#N
molecule_1150.sdf,COCC(=O)NC[C@H]1C[C@@H]2CCN1C[C@@H]2c1cc(-c2ccccc2Br)nc(C)n1
molecule_1151.sdf,Cc1nn(-c2ccc(C(F)(F)F)cc2)c(C)c1[C@@H]1C=C[C@@H](NC(=O)NC(C)C)C1
molecule_1152.sdf,Cc1nn(-c2ccc(C(F)(F)F)cc2)c(C)c1[C@@H]1C=C[C@@H](NC(=O)NC2CCCCC2)C1
molecule_1153.sdf,Cc1nc(-c2ccc(F)cc2)cc([C@H]2CN3CC[C@H]2C[C@@H]3CNC(=O)c2ccco2)n1
molecule_1154.sdf,Cc1nc(-c2ccccc2Br)cc([C@H]2CN3CC[C@H]2C[C@@H]3CNC(=O)c2ccco2)n1
molecule_1155.sdf,Cc1nc(-c2ccc(C(F)(F)F)cc2)cc([C@H]2CN3CC[C@H]2C[C@@H]3CNC(=O)c2ccccc2C(=O)O)n1
molecule_1156.sdf,Cc1nn(-c2ccc(C(F)(F)F)cc2)c(C)c1[C@@H]1C=C[C@@H](NS(=O)(=O)c2cccs2)C1
molecule_1157.sdf,Cc1nc(-c2ccc(C(F)(F)F)cc2)cc([C@H]2CN3CC[C@H]2C[C@@H]3CNC(=O)CCCC(=O)O)n1
molecule_1158.sdf,Cc1nn(-c2ccc(C(F)(F)F)cc2)c(C)c1[C@@H]1C=C[C@@H](NS(=O)(=O)c2ccccc2)C1
molecule_1159.sdf,Cc1nc(-c2ccccc2Br)cc([C@H]2CN3CC[C@H]2C[C@@H]3CNC(=O)c2ccccc2)n1
molecule_116.sdf,CCCCCC(=O)N1CC[C@@H](CC(=O)N(C)CCC#N)[C@@H](CC)C1
molecule_1160.sdf,Cc1nn(-c2ccc(C(F)(F)F)cc2)c(C)c1[C@@H]1C=C[C@@H](NC(=O)c2cccs2)C1
molecule_1161.sdf,Cc1nn(-c2ccc(C(F)(F)F)cc2)c(C)c1[C@@H]1C=C[C@@H](NC(=O)CC2(CC(=O)O)CCCC2)C1
molecule_1162.sdf,Cc1nc(-c2ccc(F)cc2)cc([C@H]2CN3CC[C@H]2C[C@@H]3CNS(=O)(=O)Cc2ccccc2)n1
molecule_1163.sdf,Cc1nn(-c2ccc(C(F)(F)F)cc2)c(C)c1[C@@H]1C=C[C@@H](NC(=O)CC(C)(C)CC(=O)O)C1
molecule_1164.sdf,CCCS(=O)(=O)NC[C@H]1C[C@@H]2CCN1C[C@@H]2c1cc(-c2ccccc2Br)nc(C)n1
molecule_1165.sdf,Cc1nn(-c2ccc(C(F)(F)F)cc2)c(C)c1[C@@H]1C=C[C@@H](NC(=O)CCC(=O)O)C1
molecule_1166.sdf,Cc1nc(-c2ccc(C(F)(F)F)cc2)cc([C@H]2CN3CC[C@H]2C[C@@H]3CNC(=O)N2CCOCC2)n1
