Molecule Name,AI Confidence,Breadth Score,Local Score
molecule_482,-3.540590763092041,-7.6,4.6
molecule_483,-1.4667279720306396,-6.0,-4.2
molecule_484,-0.8516331315040588,-5.3,-5.3
molecule_485,-2.2520463466644287,-7.5,0.9
molecule_486,-3.3170416355133057,-6.4,-1.5
molecule_487,-2.572968006134033,-7.1,0.0
molecule_488,-2.686537027359009,-7.6,2.7
molecule_489,-2.6213104724884033,-6.6,5.9
molecule_490,-2.8949129581451416,-5.4,-7.6
molecule_491,-1.1437369585037231,-6.1,-5.8
molecule_492,-2.6952733993530273,-6.9,-2.9
molecule_493,-2.9353716373443604,-6.9,-6.3
molecule_494,-3.5722625255584717,-6.4,-3.2
molecule_495,-3.38360595703125,-7.4,-2.7
molecule_496,-1.6547718048095703,-5.6,-5.6
molecule_497,-1.0707398653030396,-5.6,-2.8
molecule_498,-3.1018829345703125,-6.9,2.6
molecule_499,-3.8518030643463135,-6.7,4.7
molecule_500,-2.355550527572632,-7.0,-3.7
molecule_501,-3.1995022296905518,-7.6,0.1
molecule_502,-3.2232210636138916,-6.9,-0.2
molecule_503,-2.246124267578125,-6.4,-6.8
molecule_504,-0.9252954125404358,-7.4,-7.3
molecule_505,-2.47004771232605,-7.4,1.8
molecule_506,-3.7891950607299805,-6.8,-5.0
molecule_507,-2.193044900894165,-6.5,0.4
molecule_508,-2.3937745094299316,-6.1,-3.9
molecule_509,-2.703327178955078,-6.7,-3.8
molecule_510,-3.449514627456665,-7.4,-0.1
molecule_511,-2.1554999351501465,-6.8,-5.0
molecule_512,-1.705817461013794,-7.0,0.5
molecule_513,-2.979689598083496,-5.8,-0.7
molecule_514,-3.004073143005371,-6.7,-5.9
molecule_515,-1.6569997072219849,-6.0,-6.1
molecule_516,-2.1076600551605225,-6.9,-4.8
molecule_517,-1.7881062030792236,-6.4,-1.4
molecule_518,-2.9193174839019775,-6.4,-6.3
molecule_519,-3.5803842544555664,-6.2,-2.2
molecule_520,-1.819088101387024,-6.5,-1.7
molecule_521,-3.546464204788208,-6.3,-1.8
molecule_522,-2.4809186458587646,-7.2,-3.0
